Id,Predicted
1_939,0.9683853666719880
1_940,0.9896998843259310
1_941,0.9856080525954320
1_942,0.988843524604586
1_943,0.9775431414633470
1_944,0.981801891721935
1_945,0.9828934636634150
1_946,0.9913547932544620
1_947,0.9833282845850860
1_948,0.9879197649513480
1_949,0.9770244154374580
1_950,0.9866958044220050
1_951,0.9855294544674540
1_952,0.9950113772200320
1_953,0.9999999678378900
1_954,0.9781279522623230
1_955,0.9597432097410260
1_956,0.9502751637468880
1_957,0.9395373871122350
1_958,0.9333353647021720
1_959,0.9286632031209740
1_960,0.9421445345431070
1_961,0.9375098329428470
1_962,0.9269305096792540
1_963,0.9390532907170320
1_964,0.9470901348138150
1_965,0.9502651065599830
1_966,0.9439374213599940
1_967,0.9248628013486730
1_968,0.8977198577908240
1_969,0.8557276419241920
1_970,0.832369821115401
1_971,0.8126972616321440
1_972,0.794525140888089
1_973,0.7811654046902260
1_974,0.7678466595426980
1_975,0.7586158432816930
1_976,0.7565797207770440
1_977,0.7556756349536920
1_978,0.7546220988042710
1_979,0.7542221176405690
1_980,0.7436557974514850
1_981,0.7288052392270550
1_982,0.7057600725341480
1_983,0.6888473963885780
1_984,0.6697986145137870
1_985,0.6567568210397190
1_986,0.6501406578361410
1_987,0.641491401213393
1_988,0.6302060877496680
1_989,0.673504938665969
1_990,0.7152351303628200
1_991,0.7175417529905050
1_992,0.7179914385427890
1_993,0.7650474579705640
1_994,0.7559611516696450
1_995,0.7327025720908030
1_996,0.7166650584111710
1_997,0.7063785294043740
1_998,0.6488158540274190
1_999,0.5944667746011120
1_1000,0.5872164007087250
1_1001,0.5735497988304110
1_1002,0.5093700364158270
1_1003,0.4959238891884740
1_1004,0.4925561974432020
1_1005,0.49150980468774000
1_1006,0.49605759190719500
1_1007,0.5026375873950050
1_1008,0.5087958370889580
1_1009,0.5130037108174830
1_1010,0.5178109507410650
1_1011,0.5856554657359130
1_1012,0.591645950077922
1_1013,0.5943903895392710
1_1014,0.5876410752320970
1_1015,0.573966674220543
1_1016,0.5521102106834500
1_1017,0.5358050405198490
1_1018,0.5176862799115400
1_1019,0.502786298028119
1_1020,0.42774723017952600
1_1021,0.416333675913699
1_1022,0.40243638016716600
1_1023,0.3899558715128470
1_1024,0.37407490659437700
1_1025,0.4527018862546500
1_1026,0.4322190488210760
1_1027,0.5120110264433640
1_1028,0.4992113169679300
1_1029,0.48944881190885200
1_1030,0.4805495919356760
1_1031,0.4766217472930710
1_1032,0.47431482666760400
1_1033,0.4744481088840970
1_1034,0.47675554803963200
1_1035,0.4822700020135330
1_1036,0.3919315946162730
1_1037,0.39605069935991100
1_1038,0.39610046380061000
1_1039,0.3874640451596500
1_1040,0.3801790579014080
1_1041,0.37275353151534400
1_1042,0.3689689722328220
1_1043,0.27449403009718200
1_1044,0.2722354823996710
1_1045,0.2692331210696900
1_1046,0.3583241185522640
1_1047,0.3588089591855930
1_1048,0.3656598670614960
1_1049,0.36907201368199900
1_1050,0.3724356487452060
1_1051,0.3697304914613560
1_1052,0.36868663866526300
1_1053,0.3693020856739030
1_1054,0.46392945003460100
1_1055,0.3758537853986870
1_1056,0.38244039971536000
1_1057,0.3927625266971430
1_1058,0.40369295966576200
1_1059,0.4181044520641990
1_1060,0.4329012708095780
1_1061,0.44331549894890600
1_1062,0.44705709864804800
1_1063,0.35530739985189700
1_1064,0.3529715661796290
1_1065,0.3496368810768140
1_1066,0.34100681773226000
1_1067,0.33081938702668200
1_1068,0.3185793985611420
1_1069,0.3983830239392880
1_1070,0.390517272752825
1_1071,0.38509966826408600
1_1072,0.3811313377109290
1_1073,0.38113962678895900
1_1074,0.3740115710864350
1_1075,0.37006141972532700
1_1076,0.36887970204751000
1_1077,0.36797831734443500
1_1078,0.27721221403732000
1_1079,0.2797113749548220
1_1080,0.2812594628394680
1_1081,0.2838503531947570
1_1082,0.281714521138356
1_1083,0.2881859221783020
1_1084,0.2940004861736550
1_1085,0.2972788661731550
1_1086,0.2976537998076360
1_1087,0.2998196490519630
1_1088,0.29674731444072700
1_1089,0.2954892377898290
1_1090,0.2992153773899510
1_1091,0.3081585598383590
1_1092,0.30683857851851400
1_1093,0.30285460221701800
1_1094,0.29951473642956500
1_1095,0.297593707410532
1_1096,0.2938156217042690
1_1097,0.2939713415074030
1_1098,0.29409335470894900
1_1099,0.28748598090987200
1_1100,0.37025986073091400
1_1101,0.36645662599756100
1_1102,0.36299855810930500
1_1103,0.36144535622127900
1_1104,0.3613967448485120
1_1105,0.36225588318219600
1_1106,0.3656301129754550
1_1107,0.3697787041272980
1_1108,0.37359393738637300
1_1109,0.28182798439555400
1_1110,0.37320930398864100
1_1111,0.3805694251707810
1_1112,0.37936544733062700
1_1113,0.3808869222008670
1_1114,0.3811647591891280
1_1115,0.3743287150226350
1_1116,0.4635919523296880
1_1117,0.457552229518409
1_1118,0.451098679253694
1_1119,0.34974645589075800
1_1120,0.335375533569099
1_1121,0.328801187116338
1_1122,0.32044716212715100
1_1123,0.3119170769402040
1_1124,0.40820403775725400
1_1125,0.3089573038271660
1_1126,0.3077404962445540
1_1127,0.30782891669313800
1_1128,0.3140270213979180
1_1129,0.32161880722586800
1_1130,0.32736294709648700
1_1131,0.33019277644461300
1_1132,0.3334441693912450
1_1133,0.23555328627671800
1_1134,0.2370727184039390
1_1135,0.23625226043808200
1_1136,0.23859821013561000
1_1137,0.24264336507452200
1_1138,0.34014021109319600
1_1139,0.3400470667316570
1_1140,0.3418738392573020
1_1141,0.3421614494462930
1_1142,0.3421346310149550
1_1143,0.34240280927018500
1_1144,0.3437221889801010
1_1145,0.346203107519372
1_1146,0.3480682810533190
1_1147,0.254174752226457
1_1148,0.25697082049678400
1_1149,0.2573871753296350
1_1150,0.2536849217644110
1_1151,0.2514230648217670
1_1152,0.34805551943807000
1_1153,0.3419409902907000
1_1154,0.3322205921285820
1_1155,0.3219166310954950
1_1156,0.3138179396749560
1_1157,0.3108290112833740
