Id,Predicted
1_939,0.8359756110590211
1_940,0.8359756110590211
1_941,0.8359756110590211
1_942,0.8359756110590211
1_943,0.8359756110590211
1_944,0.8359756110590211
1_945,0.8359756110590211
1_946,0.8359756110590211
1_947,0.8915352169763239
1_948,0.900091236671691
1_949,0.9061201375787534
1_950,0.9089787065026054
1_951,0.914781396308611
1_952,0.9059285302309409
1_953,0.8998877090404335
1_954,0.888644026324891
1_955,0.879556333965009
1_956,0.8717512586908652
1_957,0.8741586880121328
1_958,0.8751430794093362
1_959,0.869616498714974
1_960,0.862478974917195
1_961,0.8584170243780983
1_962,0.8508640626522261
1_963,0.8478124083501508
1_964,0.8452180260956176
1_965,0.8367639007491999
1_966,0.8282099902224395
1_967,0.8292295939377409
1_968,0.8287209793561637
1_969,0.8359056800423449
1_970,0.8400672305525186
1_971,0.840002382098559
1_972,0.8279811793159411
1_973,0.8190625454507143
1_974,0.8190096623332137
1_975,0.8246440721726317
1_976,0.8297206731532881
1_977,0.8329178639586649
1_978,0.8320766866426836
1_979,0.8336458604726384
1_980,0.8288662832045065
1_981,0.8232875023278928
1_982,0.8178170634967068
1_983,0.8076015190004362
1_984,0.7938120317165627
1_985,0.7771984755409338
1_986,0.7888952688010977
1_987,0.7897724674265719
1_988,0.8017807429138999
1_989,0.7884037885452236
1_990,0.7933909725671148
1_991,0.7986515029224107
1_992,0.7817961364193297
1_993,0.7679746963375432
1_994,0.753453801535129
1_995,0.7427324799809437
1_996,0.7427087496870185
1_997,0.7332355163812542
1_998,0.7227850096718511
1_999,0.7123810785403605
1_1000,0.7066474351978058
1_1001,0.6755234504121919
1_1002,0.6665118946153145
1_1003,0.6486313314486911
1_1004,0.6551109341373093
1_1005,0.6292135909462833
1_1006,0.6097252641025509
1_1007,0.6044739156615595
1_1008,0.6243704477229212
1_1009,0.6461108471963816
1_1010,0.6445419408060089
1_1011,0.6345774004818098
1_1012,0.6277838155915144
1_1013,0.6286238738090115
1_1014,0.6349280331413247
1_1015,0.6321017063519151
1_1016,0.6316665013561901
1_1017,0.615591160230767
1_1018,0.5972927490553946
1_1019,0.5784190479333172
1_1020,0.5708426987468671
1_1021,0.5548456134501605
1_1022,0.5828579934155791
1_1023,0.5862889270645316
1_1024,0.5869935919972051
1_1025,0.6142722116696163
1_1026,0.60836964552598
1_1027,0.6102036130527583
1_1028,0.6104573506602265
1_1029,0.6008399057966082
1_1030,0.5968777144431292
1_1031,0.6275768914085913
1_1032,0.6624565871079704
1_1033,0.6585197237103518
1_1034,0.6601393143935437
1_1035,0.6554545275030323
1_1036,0.6475415221761083
1_1037,0.6129956170372335
1_1038,0.5766254971877903
1_1039,0.5314060918324001
1_1040,0.49017782709553476
1_1041,0.48439990729408117
1_1042,0.48018487943207044
1_1043,0.5060628421506532
1_1044,0.537558007465497
1_1045,0.530540829003672
1_1046,0.48934997227020216
1_1047,0.4513770102962731
1_1048,0.4509868742758616
1_1049,0.4619901329065938
1_1050,0.4681289344503279
1_1051,0.5113743498631403
1_1052,0.5453121244078999
1_1053,0.5449535166727079
1_1054,0.5529175551762645
1_1055,0.5576525166698397
1_1056,0.5637499876742621
1_1057,0.5738740323545938
1_1058,0.5422124647997381
1_1059,0.5039286373012655
1_1060,0.5074500990686064
1_1061,0.5142971454506298
1_1062,0.5202864799255238
1_1063,0.5288131843452363
1_1064,0.5129390302174301
1_1065,0.4971579046852082
1_1066,0.49623245428851886
1_1067,0.4962449572771096
1_1068,0.4988731235558578
1_1069,0.5052008049475254
1_1070,0.5083477260785494
1_1071,0.4939605466097737
1_1072,0.4736682691271769
1_1073,0.46678544378229936
1_1074,0.4679132065608678
1_1075,0.47542608951553883
1_1076,0.47211113654890796
1_1077,0.4631833341737504
1_1078,0.4534844395369882
1_1079,0.4522027662176116
1_1080,0.452051787396826
1_1081,0.4124415974372238
1_1082,0.37403919794320584
1_1083,0.36040210629177405
1_1084,0.34498752653723613
1_1085,0.3355408344227135
1_1086,0.3441896777204757
1_1087,0.35420725808871634
1_1088,0.3577513064065899
1_1089,0.34621366992354985
1_1090,0.3292342532458061
1_1091,0.3140269663500195
1_1092,0.30458712613274447
1_1093,0.2949377451488227
1_1094,0.2865715529074779
1_1095,0.2860156094364668
1_1096,0.27419810576604325
1_1097,0.31299055081935007
1_1098,0.3591408743522018
1_1099,0.3599106314346059
1_1100,0.3552448311708782
1_1101,0.3453237242386749
1_1102,0.33330891390645395
1_1103,0.3249756053284601
1_1104,0.3234814875511666
1_1105,0.31998691349913244
1_1106,0.32289173431386536
1_1107,0.3733580099490183
1_1108,0.42156213313013235
1_1109,0.42534917630089153
1_1110,0.43479934117078906
1_1111,0.44040966586992736
1_1112,0.3870920684159315
1_1113,0.3893414671546411
1_1114,0.4309674667744806
1_1115,0.43173839088571203
1_1116,0.43275811326629887
1_1117,0.42921518532949104
1_1118,0.4227571606684885
1_1119,0.43444330981050766
1_1120,0.44831566374295245
1_1121,0.4987565630723768
1_1122,0.4977563918200218
1_1123,0.4565830716374579
1_1124,0.4550436733615808
1_1125,0.4449632737145844
1_1126,0.4430410616522053
1_1127,0.45109441396172545
1_1128,0.401730705431228
1_1129,0.3596710900339913
1_1130,0.3586348739795682
1_1131,0.353371040402595
1_1132,0.3536907975983787
1_1133,0.36083398361689906
1_1134,0.3587162828921323
1_1135,0.397014411704061
1_1136,0.39440774227540903
1_1137,0.34769829467726915
1_1138,0.34469683757785835
1_1139,0.34448867917196513
1_1140,0.36344864060358123
1_1141,0.3818714653302025
1_1142,0.392925668685331
1_1143,0.3991822650468661
1_1144,0.4101001908172447
1_1145,0.41795543682270353
1_1146,0.42377302010089307
1_1147,0.4320167991732081
1_1148,0.436325792489947
1_1149,0.4761287897424342
1_1150,0.4756073163039956
1_1151,0.43031725128839404
1_1152,0.43061130374769757
1_1153,0.4243452990757279
1_1154,0.41773739310658903
1_1155,0.3988571973371001
1_1156,0.37879714203953263
1_1157,0.3589834716334181
1_1158,0.34832687122451955
1_1159,0.33866538971356963
1_1160,0.32982579173272725
1_1161,0.3223028993497694
1_1162,0.30951371249614795
1_1163,0.3040555179434951
1_1164,0.26301285740921415
1_1165,0.21456037117583546
1_1166,0.21037437420451197
1_1167,0.20699082418334763
1_1168,0.20956616812284995
1_1169,0.21368047778380805
1_1170,0.20700778490887414
1_1171,0.20134661090365513
1_1172,0.2549377363408751
1_1173,0.3066099614182582
1_1174,0.3065635199493247
1_1175,0.3017056994317844
